Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Cargo Type Code,Cargo Aircraft Type,Cargo Weight LBS,Cargo Metric TONS
201801,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Enplaned,Mail,Passenger,21239,9.634
201801,Kalitta Air,K4,Kalitta Air,K4,Domestic,US,Deplaned,Cargo,Freighter,276083,125.231
201801,Kalitta Air,K4,Kalitta Air,K4,Domestic,US,Enplaned,Cargo,Freighter,372069,168.77
201801,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Cargo,Freighter,616886,279.819
201801,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Cargo,Passenger,1468321,666.03
201801,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Express,Passenger,14047,6.372
201801,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Mail,Freighter,62117,28.176
201801,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Mail,Passenger,220058,99.818
201801,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Cargo,Freighter,1592901,722.54
201801,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Cargo,Passenger,325293,147.553
201801,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Deplaned,Cargo,Passenger,845649,383.586
201801,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Deplaned,Mail,Passenger,50000,22.68
201801,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Enplaned,Cargo,Passenger,614971,278.951
201801,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Enplaned,Mail,Passenger,24467,11.098
201801,Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Deplaned,Cargo,Freighter,701747,318.312
201801,Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Enplaned,Cargo,Freighter,866496,393.043
201801,Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Enplaned,Mail,Freighter,42009,19.055
201801,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Deplaned,Cargo,Passenger,159974,72.564
201801,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Deplaned,Mail,Passenger,62807,28.489
201801,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Enplaned,Cargo,Passenger,112481,51.021
201801,Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Deplaned,Cargo,Passenger,186962,84.806
201801,Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Deplaned,Mail,Passenger,65852,29.87
201801,Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Enplaned,Cargo,Passenger,28801,13.064
201801,Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Enplaned,Mail,Passenger,40955,18.577
201801,Redding Aero Enterprises,bxr,Redding Aero Enterprises,bxr,Domestic,US,Deplaned,Cargo,Freighter,18402,8.347
201801,Redding Aero Enterprises,bxr,Redding Aero Enterprises,bxr,Domestic,US,Enplaned,Cargo,Freighter,16751,7.598
201801,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Deplaned,Cargo,Passenger,930996,422.3
201801,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Deplaned,Express,Passenger,9500,4.309
201801,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Enplaned,Cargo,Passenger,278120,126.155
201801,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Enplaned,Express,Passenger,3379,1.533
201801,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Enplaned,Mail,Passenger,52565,23.843
201801,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Deplaned,Cargo,Passenger,1407017,638.223
201801,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Deplaned,Express,Passenger,13131,5.956
201801,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Deplaned,Mail,Passenger,186198,84.459
201801,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Enplaned,Cargo,Passenger,327936,148.752
201801,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Enplaned,Express,Passenger,15402,6.986
201801,SkyWest Airlines,OO,Alaska Airlines,AS,Domestic,US,Deplaned,Cargo,Passenger,30,0.014
201801,SkyWest Airlines,OO,Alaska Airlines,AS,Domestic,US,Enplaned,Express,Passenger,65,0.029
201801,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Deplaned,Cargo,Passenger,302516,137.221
201801,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Enplaned,Cargo,Passenger,242041,109.79
201801,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Deplaned,Cargo,Passenger,5086,2.307
201801,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Deplaned,Mail,Passenger,28627,12.985
201801,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Enplaned,Cargo,Passenger,13126,5.954
201801,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Enplaned,Mail,Passenger,26269,11.916
201801,Swiss International,LX,Swiss International,LX,International,Europe,Deplaned,Cargo,Passenger,354901,160.983
201801,Swiss International,LX,Swiss International,LX,International,Europe,Deplaned,Mail,Passenger,4076,1.849
201801,Swiss International,LX,Swiss International,LX,International,Europe,Enplaned,Cargo,Passenger,310286,140.746
201801,Swiss International,LX,Swiss International,LX,International,Europe,Enplaned,Mail,Passenger,6563,2.977
201801,TACA International Airlines, S.A.,TA,TACA International Airlines, S.A.,TA,International,Central America,Deplaned,Cargo,Passenger,14109,6.4
201801,TACA International Airlines, S.A.,TA,TACA International Airlines, S.A.,TA,International,Central America,Enplaned,Cargo,Passenger,1357,0.616
201801,Turkish Airlines,TK,Turkish Airlines,TK,International,Europe,Deplaned,Cargo,Passenger,700163,317.594
201801,Turkish Airlines,TK,Turkish Airlines,TK,International,Europe,Enplaned,Cargo,Passenger,438666,198.979
201801,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Cargo,Passenger,2037123,924.039
201801,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Express,Passenger,40771,18.494
201801,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Mail,Passenger,2459722,1115.73
201801,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Cargo,Passenger,3297699,1495.836
201801,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Express,Passenger,83904,38.059
201801,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Mail,Passenger,2567562,1164.646
201801,United Airlines,UA,United Airlines,UA,International,Asia,Deplaned,Cargo,Passenger,7636035,3463.705
201801,United Airlines,UA,United Airlines,UA,International,Asia,Deplaned,Express,Passenger,209,0.095
201801,United Airlines,UA,United Airlines,UA,International,Asia,Deplaned,Mail,Passenger,381185,172.906
201801,United Airlines,UA,United Airlines,UA,International,Asia,Enplaned,Cargo,Passenger,2144962,972.955
201801,United Airlines,UA,United Airlines,UA,International,Asia,Enplaned,Express,Passenger,9640,4.373
201801,United Airlines,UA,United Airlines,UA,International,Asia,Enplaned,Mail,Passenger,788946,357.866
201801,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Deplaned,Cargo,Passenger,703510,319.112
201801,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Deplaned,Mail,Passenger,823,0.373
201801,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Enplaned,Cargo,Passenger,416088,188.738
201801,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Enplaned,Express,Passenger,39,0.018
201801,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Enplaned,Mail,Passenger,44987,20.406
201801,United Airlines,UA,United Airlines,UA,International,Canada,Deplaned,Cargo,Passenger,427,0.194
201801,United Airlines,UA,United Airlines,UA,International,Canada,Enplaned,Cargo,Passenger,13875,6.294
201801,United Airlines,UA,United Airlines,UA,International,Canada,Enplaned,Express,Passenger,9,0.004
201801,United Airlines,UA,United Airlines,UA,International,Canada,Enplaned,Mail,Passenger,23171,10.51
201801,United Airlines,UA,United Airlines,UA,International,Europe,Deplaned,Cargo,Passenger,1962722,890.291
201801,United Airlines,UA,United Airlines,UA,International,Europe,Deplaned,Express,Passenger,26,0.012
201801,United Airlines,UA,United Airlines,UA,International,Europe,Deplaned,Mail,Passenger,269187,122.103
201801,United Airlines,UA,United Airlines,UA,International,Europe,Enplaned,Cargo,Passenger,888077,402.832
201801,United Airlines,UA,United Airlines,UA,International,Europe,Enplaned,Express,Passenger,1709,0.775
201801,United Airlines,UA,United Airlines,UA,International,Europe,Enplaned,Mail,Passenger,152897,69.354
201801,United Airlines,UA,United Airlines,UA,International,Mexico,Deplaned,Cargo,Passenger,47262,21.438
201801,United Airlines,UA,United Airlines,UA,International,Mexico,Deplaned,Express,Passenger,394,0.179
201801,United Airlines,UA,United Airlines,UA,International,Mexico,Enplaned,Cargo,Passenger,8435,3.826
201801,United Airlines,UA,United Airlines,UA,International,Mexico,Enplaned,Express,Passenger,56,0.025
201801,United Airlines,UA,United Airlines,UA,International,Mexico,Enplaned,Mail,Passenger,23608,10.709
201801,United Airlines,UA,United Airlines,UA,International,Middle East,Deplaned,Cargo,Passenger,376030,170.567
201801,United Airlines,UA,United Airlines,UA,International,Middle East,Deplaned,Express,Passenger,11206,5.083
201801,United Airlines,UA,United Airlines,UA,International,Middle East,Enplaned,Cargo,Passenger,264719,120.077
201801,United Airlines,UA,United Airlines,UA,International,Middle East,Enplaned,Express,Passenger,5524,2.506
201801,United Airlines,UA,United Airlines,UA,International,Middle East,Enplaned,Mail,Passenger,23642,10.724
201801,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Deplaned,Cargo,Passenger,794556,360.411
201801,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Enplaned,Cargo,Passenger,932221,422.855
201801,WOW Air,WW,WOW Air,WW,International,Europe,Deplaned,Cargo,Passenger,157765,71.562
201801,WOW Air,WW,WOW Air,WW,International,Europe,Enplaned,Cargo,Passenger,58929,26.73
201802,Aer Lingus, Ltd.,EI,Aer Lingus, Ltd.,EI,International,Europe,Deplaned,Cargo,Passenger,182225,82.657
201802,Aer Lingus, Ltd.,EI,Aer Lingus, Ltd.,EI,International,Europe,Enplaned,Cargo,Passenger,147630,66.965
201802,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Cargo,Passenger,80144,36.353
201802,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Express,Passenger,6025,2.733
201802,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Mail,Passenger,31629,14.347
201802,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Cargo,Passenger,112067,50.834
201802,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Express,Passenger,25920,11.757
201802,Air China,CA,Air China,CA,International,Asia,Deplaned,Cargo,Passenger,498655,226.19
201802,Air China,CA,Air China,CA,International,Asia,Deplaned,Mail,Passenger,160574,72.836
201802,Air China,CA,Air China,CA,International,Asia,Enplaned,Cargo,Passenger,314732,142.762
201802,Air France,AF,Air France,AF,International,Europe,Deplaned,Cargo,Passenger,634791,287.941
201802,Air France,AF,Air France,AF,International,Europe,Deplaned,Mail,Passenger,18976,8.608
201802,Air France,AF,Air France,AF,International,Europe,Enplaned,Cargo,Passenger,539466,244.702
201802,Air France,AF,Air France,AF,International,Europe,Enplaned,Mail,Passenger,22597,10.25
201802,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Deplaned,Cargo,Passenger,380502,172.596
201802,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Deplaned,Mail,Passenger,2370,1.075
201802,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Enplaned,Cargo,Passenger,352549,159.916
201802,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Enplaned,Mail,Passenger,17878,8.109
201802,Air Pacific Limited dba Fiji Airways,FJ,Air Pacific Limited dba Fiji Airways,FJ,International,Australia / Oceania,Deplaned,Cargo,Passenger,1731,0.785
201802,Air Pacific Limited dba Fiji Airways,FJ,Air Pacific Limited dba Fiji Airways,FJ,International,Australia / Oceania,Enplaned,Cargo,Passenger,2618,1.188
201802,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Cargo,Passenger,97870,44.394
201802,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Express,Passenger,1818,0.825
201802,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Mail,Passenger,28660,13
201802,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Cargo,Passenger,109316,49.586
201802,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Express,Passenger,1319,0.598
201802,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Mail,Passenger,44139,20.021
201802,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Enplaned,Cargo,Passenger,275,0.125
201802,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Enplaned,Mail,Passenger,20600,9.344
201802,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Deplaned,Cargo,Passenger,918044,416.425
201802,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Deplaned,Mail,Passenger,253187,114.846
201802,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Enplaned,Cargo,Passenger,559355,253.723
201802,American Airlines,AA,American Airlines,AA,Domestic,US,Deplaned,Cargo,Passenger,242834,110.15
201802,American Airlines,AA,American Airlines,AA,Domestic,US,Deplaned,Mail,Passenger,307789,139.613
201802,American Airlines,AA,American Airlines,AA,Domestic,US,Enplaned,Cargo,Passenger,477418,216.557
201802,American Airlines,AA,American Airlines,AA,Domestic,US,Enplaned,Mail,Passenger,754714,342.338
201802,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Cargo,Freighter,616223,279.519
201802,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Cargo,Passenger,201482,91.392
201802,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Mail,Freighter,2460,1.116
201802,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Mail,Passenger,73501,33.34
201802,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Cargo,Freighter,1445785,655.808
201802,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Cargo,Passenger,225019,102.069
201802,Atlas Air, Inc,5Y,Atlas Air, Inc,5Y,Domestic,US,Deplaned,Cargo,Freighter,5608869,2544.183
201802,Atlas Air, Inc,5Y,Atlas Air, Inc,5Y,Domestic,US,Enplaned,Cargo,Freighter,3596410,1631.332
201802,British Airways,BA,British Airways,BA,International,Europe,Deplaned,Cargo,Passenger,756787,343.279
201802,British Airways,BA,British Airways,BA,International,Europe,Deplaned,Mail,Passenger,47287,21.449
201802,British Airways,BA,British Airways,BA,International,Europe,Enplaned,Cargo,Passenger,716960,325.213
201802,British Airways,BA,British Airways,BA,International,Europe,Enplaned,Mail,Passenger,39954,18.123
201802,COPA Airlines, Inc.,CM,COPA Airlines, Inc.,CM,International,Central America,Deplaned,Cargo,Passenger,7521,3.412
201802,COPA Airlines, Inc.,CM,COPA Airlines, Inc.,CM,International,Central America,Enplaned,Cargo,Passenger,6177,2.802
201802,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Cargo,Passenger,1077263,488.646
201802,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Mail,Passenger,450318,204.264
201802,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Cargo,Passenger,269775,122.37
201802,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Cargo,Freighter,854430,387.569
201802,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Cargo,Passenger,361563,164.005
201802,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Mail,Freighter,136722,62.017
201802,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Mail,Passenger,235080,106.632
201802,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Cargo,Freighter,920358,417.474
201802,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Cargo,Passenger,222893,101.104
201802,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Mail,Passenger,31264,14.181
201802,China Eastern,MU,China Eastern,MU,International,Asia,Deplaned,Cargo,Passenger,470995,213.643
201802,China Eastern,MU,China Eastern,MU,International,Asia,Enplaned,Cargo,Passenger,329066,149.264
201802,China Southern,CZ,China Southern,CZ,International,Asia,Deplaned,Cargo,Passenger,284112,128.873
201802,China Southern,CZ,China Southern,CZ,International,Asia,Deplaned,Mail,Passenger,154354,70.015
201802,China Southern,CZ,China Southern,CZ,International,Asia,Enplaned,Cargo,Passenger,125081,56.737
201802,Compass Airlines,CP,American Airlines,AA,Domestic,US,Deplaned,Cargo,Passenger,70,0.032
201802,Compass Airlines,CP,American Airlines,AA,Domestic,US,Deplaned,Mail,Passenger,386,0.175
201802,Compass Airlines,CP,American Airlines,AA,Domestic,US,Enplaned,Cargo,Passenger,1319,0.598
201802,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Cargo,Passenger,887874,402.74
201802,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Mail,Passenger,762251,345.757
201802,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Enplaned,Cargo,Passenger,735050,333.419
201802,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Enplaned,Mail,Passenger,1163830,527.913
201802,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Cargo,Passenger,1752196,794.796
201802,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Express,Passenger,639,0.29
201802,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Mail,Passenger,201983,91.619
201802,EVA Airways,BR,EVA Airways,BR,International,Asia,Enplaned,Cargo,Passenger,953473,432.495
201802,EVA Airways,BR,EVA Airways,BR,International,Asia,Enplaned,Express,Passenger,4815,2.184
201802,Emirates,EK,Emirates,EK,International,Middle East,Deplaned,Cargo,Passenger,226376,102.684
201802,Emirates,EK,Emirates,EK,International,Middle East,Enplaned,Cargo,Passenger,485120,220.05
201802,Federal Express,FX,Federal Express,FX,Domestic,US,Deplaned,Cargo,Freighter,2463132,1117.277
201802,Federal Express,FX,Federal Express,FX,Domestic,US,Enplaned,Cargo,Freighter,2252841,1021.889
201802,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Deplaned,Cargo,Passenger,231431,104.977
201802,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Enplaned,Cargo,Passenger,806664,365.903
201802,Horizon Air,QX,Alaska Airlines,AS,Domestic,US,Deplaned,Mail,Passenger,3102,1.407
201802,Horizon Air,QX,Alaska Airlines,AS,Domestic,US,Enplaned,Mail,Passenger,8699,3.946
201802,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Cargo,Passenger,739165,335.285
201802,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Mail,Passenger,173772,78.823
201802,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Cargo,Passenger,557891,253.059
201802,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Mail,Passenger,62394,28.302
201802,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Deplaned,Cargo,Passenger,593576,269.246
201802,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Deplaned,Mail,Passenger,12721,5.77
201802,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Enplaned,Cargo,Passenger,398926,180.953
201802,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Enplaned,Mail,Passenger,35521,16.112
201802,Kalitta Air,K4,Kalitta Air,K4,Domestic,US,Enplaned,Cargo,Freighter,95531,43.333
201802,Kalitta Air,K4,Kalitta Air,K4,International,Asia,Deplaned,Cargo,Freighter,157613,71.493
201802,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Cargo,Freighter,435599,197.588
201802,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Cargo,Passenger,1088975,493.959
201802,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Express,Passenger,8137,3.691
201802,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Mail,Freighter,34992,15.872
201802,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Mail,Passenger,158827,72.044
201802,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Cargo,Freighter,1422046,645.04
201802,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Cargo,Passenger,539882,244.89
201802,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Deplaned,Cargo,Passenger,912001,413.684
201802,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Deplaned,Mail,Passenger,38406,17.421
201802,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Enplaned,Cargo,Passenger,745049,337.954
201802,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Enplaned,Mail,Passenger,21742,9.862
201802,Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Deplaned,Cargo,Freighter,586441,266.01
201802,Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Enplaned,Cargo,Freighter,930945,422.277
201802,Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Enplaned,Mail,Freighter,38881,17.636
201802,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Deplaned,Cargo,Passenger,206027,93.454
201802,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Deplaned,Mail,Passenger,40551,18.394
201802,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Enplaned,Cargo,Passenger,100892,45.765
201802,Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Deplaned,Cargo,Passenger,59413,26.95
201802,Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Deplaned,Mail,Passenger,200510,90.951
201802,Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Enplaned,Cargo,Passenger,30883,14.009
201802,Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Enplaned,Mail,Passenger,35052,15.9
201802,Redding Aero Enterprises,bxr,Redding Aero Enterprises,bxr,Domestic,US,Deplaned,Cargo,Freighter,24160,10.959
201802,Redding Aero Enterprises,bxr,Redding Aero Enterprises,bxr,Domestic,US,Enplaned,Cargo,Freighter,9164,4.157
201802,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Deplaned,Cargo,Passenger,1021236,463.233
201802,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Deplaned,Express,Passenger,10421,4.727
201802,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Deplaned,Mail,Passenger,24,0.011
201802,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Enplaned,Cargo,Passenger,334136,151.564
201802,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Enplaned,Express,Passenger,3410,1.547
201802,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Enplaned,Mail,Passenger,25551,11.59
201802,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Deplaned,Cargo,Passenger,1075808,487.987
201802,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Deplaned,Express,Passenger,8627,3.913
201802,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Deplaned,Mail,Passenger,52461,23.796
201802,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Enplaned,Cargo,Passenger,348679,158.161
201802,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Enplaned,Express,Passenger,10066,4.566
201802,SkyWest Airlines,OO,Alaska Airlines,AS,Domestic,US,Deplaned,Mail,Passenger,434,0.197
201802,SkyWest Airlines,OO,Alaska Airlines,AS,Domestic,US,Enplaned,Cargo,Passenger,830,0.376
201802,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Deplaned,Cargo,Passenger,282358,128.078
201802,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Enplaned,Cargo,Passenger,195381,88.625
201802,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Deplaned,Cargo,Passenger,5234,2.374
201802,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Deplaned,Mail,Passenger,15538,7.048
201802,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Enplaned,Cargo,Passenger,9741,4.419
201802,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Enplaned,Mail,Passenger,8207,3.723
201802,Swiss International,LX,Swiss International,LX,International,Europe,Deplaned,Cargo,Passenger,1012001,459.044
201802,Swiss International,LX,Swiss International,LX,International,Europe,Deplaned,Mail,Passenger,8221,3.729
201802,Swiss International,LX,Swiss International,LX,International,Europe,Enplaned,Cargo,Passenger,729837,331.054
201802,Swiss International,LX,Swiss International,LX,International,Europe,Enplaned,Mail,Passenger,50693,22.994
201802,TACA International Airlines, S.A.,TA,TACA International Airlines, S.A.,TA,International,Central America,Deplaned,Cargo,Passenger,2928,1.328
201802,TACA International Airlines, S.A.,TA,TACA International Airlines, S.A.,TA,International,Central America,Enplaned,Cargo,Passenger,691,0.313
201802,Turkish Airlines,TK,Turkish Airlines,TK,International,Europe,Deplaned,Cargo,Passenger,763722,346.424
201802,Turkish Airlines,TK,Turkish Airlines,TK,International,Europe,Enplaned,Cargo,Passenger,497351,225.598
201802,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Cargo,Passenger,2184798,991.024
201802,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Express,Passenger,33008,14.972
201802,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Mail,Passenger,2113773,958.807
201802,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Cargo,Passenger,3316972,1504.578
201802,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Express,Passenger,85557,38.809
201802,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Mail,Passenger,2092280,949.058
201802,United Airlines,UA,United Airlines,UA,International,Asia,Deplaned,Cargo,Passenger,7022520,3185.415
201802,United Airlines,UA,United Airlines,UA,International,Asia,Deplaned,Express,Passenger,92,0.042
201802,United Airlines,UA,United Airlines,UA,International,Asia,Deplaned,Mail,Passenger,320460,145.361
201802,United Airlines,UA,United Airlines,UA,International,Asia,Enplaned,Cargo,Passenger,2304342,1045.25
201802,United Airlines,UA,United Airlines,UA,International,Asia,Enplaned,Express,Passenger,3671,1.665
201802,United Airlines,UA,United Airlines,UA,International,Asia,Enplaned,Mail,Passenger,672832,305.197
201802,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Deplaned,Cargo,Passenger,1150054,521.664
201802,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Deplaned,Mail,Passenger,1082,0.491
201802,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Enplaned,Cargo,Passenger,489231,221.915
